query,ground_truth_answer,relevant_doc_ids,category
What is the average projected revenue for Alphabet Inc. (Google) in the 2023 filings?,The projected revenue for Alphabet Inc. (Google) in 2023 is around $337.18 billion.,"FIN_GOOGL_2023_10-K_S00211,FIN_GOOGL_2023_10-K_S00457,FIN_GOOGL_2023_10-K_S00577,FIN_GOOGL_2023_10-K_S01027,FIN_GOOGL_2023_10-K_S01189,FIN_GOOGL_2023_10-K_S01597,FIN_GOOGL_2023_10-K_S02227,FIN_GOOGL_2023_10-K_S02791,FIN_GOOGL_2023_10-K_S03313,FIN_GOOGL_2023_10-K_S03937,FIN_GOOGL_2023_10-K_S04573,FIN_GOOGL_2023_10-K_S05185,FIN_GOOGL_2023_10-K_S05773,FIN_GOOGL_2023_10-K_S05827,FIN_GOOGL_2023_10-K_S06949,FIN_GOOGL_2023_10-K_S07165,FIN_GOOGL_2023_10-K_S07369,FIN_GOOGL_2023_10-K_S08023,FIN_GOOGL_2023_10-K_S08617,FIN_GOOGL_2023_10-K_S09043",Numerical questions
What is the average projected revenue for Alphabet Inc. (Google) in the 2024 filings?,The projected revenue for Alphabet Inc. (Google) in 2024 is around $377.64 billion.,"FIN_GOOGL_2024_10-K_S00631,FIN_GOOGL_2024_10-K_S00997,FIN_GOOGL_2024_10-K_S01627,FIN_GOOGL_2024_10-K_S01837,FIN_GOOGL_2024_10-K_S03061,FIN_GOOGL_2024_10-K_S06247,FIN_GOOGL_2024_10-K_S06373,FIN_GOOGL_2024_10-K_S07009,FIN_GOOGL_2024_10-K_S07555,FIN_GOOGL_2024_10-K_S08065,FIN_GOOGL_2024_10-K_S08419,FIN_GOOGL_2024_10-K_S09319,FIN_GOOGL_2024_10-K_S09517,FIN_GOOGL_2024_10-K_S09979",Numerical questions
What is the average projected revenue for Alphabet Inc. (Google) in the 2025 filings?,The projected revenue for Alphabet Inc. (Google) in 2025 is around $422.96 billion.,"FIN_GOOGL_2025_10-K_S00037,FIN_GOOGL_2025_10-K_S00715,FIN_GOOGL_2025_10-K_S00775,FIN_GOOGL_2025_10-K_S01615,FIN_GOOGL_2025_10-K_S02053,FIN_GOOGL_2025_10-K_S02311,FIN_GOOGL_2025_10-K_S03235,FIN_GOOGL_2025_10-K_S06571,FIN_GOOGL_2025_10-K_S07591,FIN_GOOGL_2025_10-K_S07723",Numerical questions
What is the average projected revenue for Advanced Micro Devices Inc. in the 2022 filings?,The projected revenue for Advanced Micro Devices Inc. in 2022 is around $21.60 billion.,"FIN_AMD_2022_10-K_S01249,FIN_AMD_2022_10-K_S01387,FIN_AMD_2022_10-K_S01411,FIN_AMD_2022_10-K_S02095,FIN_AMD_2022_10-K_S02797,FIN_AMD_2022_10-K_S03355,FIN_AMD_2022_10-K_S03721,FIN_AMD_2022_10-K_S04195,FIN_AMD_2022_10-K_S04705,FIN_AMD_2022_10-K_S05923,FIN_AMD_2022_10-K_S05959,FIN_AMD_2022_10-K_S06043,FIN_AMD_2022_10-K_S06385,FIN_AMD_2022_10-K_S06637,FIN_AMD_2022_10-K_S08569,FIN_AMD_2022_10-K_S09103,FIN_AMD_2022_10-K_S09661",Numerical questions
What is the average projected revenue for Advanced Micro Devices Inc. in the 2023 filings?,The projected revenue for Advanced Micro Devices Inc. in 2023 is around $25.92 billion.,"FIN_AMD_2023_10-K_S00115,FIN_AMD_2023_10-K_S00931,FIN_AMD_2023_10-K_S02413,FIN_AMD_2023_10-K_S03523,FIN_AMD_2023_10-K_S03601,FIN_AMD_2023_10-K_S04249,FIN_AMD_2023_10-K_S04393,FIN_AMD_2023_10-K_S05527,FIN_AMD_2023_10-K_S05635,FIN_AMD_2023_10-K_S05641,FIN_AMD_2023_10-K_S05695,FIN_AMD_2023_10-K_S08479,FIN_AMD_2023_10-K_S08725,FIN_AMD_2023_10-K_S08815,FIN_AMD_2023_10-K_S09181,FIN_AMD_2023_10-K_S09781",Numerical questions
What is the average projected revenue for Advanced Micro Devices Inc. in the 2024 filings?,The projected revenue for Advanced Micro Devices Inc. in 2024 is around $31.10 billion.,"FIN_AMD_2024_10-K_S01291,FIN_AMD_2024_10-K_S01621,FIN_AMD_2024_10-K_S02191,FIN_AMD_2024_10-K_S02845,FIN_AMD_2024_10-K_S03931,FIN_AMD_2024_10-K_S04135,FIN_AMD_2024_10-K_S04237,FIN_AMD_2024_10-K_S04267,FIN_AMD_2024_10-K_S04345,FIN_AMD_2024_10-K_S04477,FIN_AMD_2024_10-K_S04957,FIN_AMD_2024_10-K_S05677,FIN_AMD_2024_10-K_S06541,FIN_AMD_2024_10-K_S06559,FIN_AMD_2024_10-K_S07315,FIN_AMD_2024_10-K_S07513,FIN_AMD_2024_10-K_S08215,FIN_AMD_2024_10-K_S09799",Numerical questions
Describe the growth trend of Apple Inc.'s annual revenue between 2021 and 2025.,Annual revenue for Apple Inc. shows a steady compounding trend growing at an annual rate of 8.0% based on its base revenue of $350 billion.,"FIN_AAPL_2021_10-K_S00217,FIN_AAPL_2021_10-K_S00859,FIN_AAPL_2021_10-K_S01435,FIN_AAPL_2021_10-K_S02827,FIN_AAPL_2021_10-K_S04543,FIN_AAPL_2021_10-K_S04849,FIN_AAPL_2021_10-K_S04879,FIN_AAPL_2021_10-K_S05545,FIN_AAPL_2021_10-K_S06607,FIN_AAPL_2021_10-K_S08779,FIN_AAPL_2021_10-K_S09529,FIN_AAPL_2021_10-K_S09775,FIN_AAPL_2022_10-K_S00343,FIN_AAPL_2022_10-K_S02149,FIN_AAPL_2022_10-K_S02875,FIN_AAPL_2022_10-K_S04297,FIN_AAPL_2022_10-K_S04663,FIN_AAPL_2022_10-K_S04747,FIN_AAPL_2022_10-K_S07837,FIN_AAPL_2022_10-K_S07963,FIN_AAPL_2022_10-K_S09547,FIN_AAPL_2023_10-K_S00763,FIN_AAPL_2023_10-K_S01117,FIN_AAPL_2023_10-K_S01267,FIN_AAPL_2023_10-K_S04417,FIN_AAPL_2023_10-K_S05203,FIN_AAPL_2023_10-K_S05515,FIN_AAPL_2023_10-K_S06115,FIN_AAPL_2023_10-K_S07213,FIN_AAPL_2023_10-K_S08035,FIN_AAPL_2023_10-K_S08371,FIN_AAPL_2024_10-K_S00805,FIN_AAPL_2024_10-K_S01177,FIN_AAPL_2024_10-K_S02575,FIN_AAPL_2024_10-K_S04423,FIN_AAPL_2024_10-K_S04693,FIN_AAPL_2024_10-K_S06013,FIN_AAPL_2024_10-K_S06295,FIN_AAPL_2024_10-K_S06775,FIN_AAPL_2024_10-K_S07075,FIN_AAPL_2024_10-K_S07249,FIN_AAPL_2024_10-K_S07309,FIN_AAPL_2024_10-K_S08773,FIN_AAPL_2024_10-K_S09283,FIN_AAPL_2025_10-K_S00223,FIN_AAPL_2025_10-K_S00991,FIN_AAPL_2025_10-K_S01417,FIN_AAPL_2025_10-K_S02353,FIN_AAPL_2025_10-K_S02587,FIN_AAPL_2025_10-K_S04315,FIN_AAPL_2025_10-K_S04501,FIN_AAPL_2025_10-K_S05227,FIN_AAPL_2025_10-K_S05251,FIN_AAPL_2025_10-K_S05443,FIN_AAPL_2025_10-K_S05761,FIN_AAPL_2025_10-K_S07675,FIN_AAPL_2025_10-K_S08071,FIN_AAPL_2025_10-K_S08389,FIN_AAPL_2025_10-K_S09121,FIN_AAPL_2025_10-K_S09367",Trend analysis
How did the R&D expenses trend for Apple Inc. over the last 3 years?,"R&D expenses for Apple Inc. trended upwards inline with revenue growth, remaining at approximately 8% to 12% of total net sales.","FIN_AAPL_2023_10-K_S00763,FIN_AAPL_2023_10-K_S01117,FIN_AAPL_2023_10-K_S01267,FIN_AAPL_2023_10-K_S04417,FIN_AAPL_2023_10-K_S05203,FIN_AAPL_2023_10-K_S05515,FIN_AAPL_2023_10-K_S06115,FIN_AAPL_2023_10-K_S07213,FIN_AAPL_2023_10-K_S08035,FIN_AAPL_2023_10-K_S08371,FIN_AAPL_2024_10-K_S00805,FIN_AAPL_2024_10-K_S01177,FIN_AAPL_2024_10-K_S02575,FIN_AAPL_2024_10-K_S04423,FIN_AAPL_2024_10-K_S04693,FIN_AAPL_2024_10-K_S06013,FIN_AAPL_2024_10-K_S06295,FIN_AAPL_2024_10-K_S06775,FIN_AAPL_2024_10-K_S07075,FIN_AAPL_2024_10-K_S07249,FIN_AAPL_2024_10-K_S07309,FIN_AAPL_2024_10-K_S08773,FIN_AAPL_2024_10-K_S09283,FIN_AAPL_2025_10-K_S00223,FIN_AAPL_2025_10-K_S00991,FIN_AAPL_2025_10-K_S01417,FIN_AAPL_2025_10-K_S02353,FIN_AAPL_2025_10-K_S02587,FIN_AAPL_2025_10-K_S04315,FIN_AAPL_2025_10-K_S04501,FIN_AAPL_2025_10-K_S05227,FIN_AAPL_2025_10-K_S05251,FIN_AAPL_2025_10-K_S05443,FIN_AAPL_2025_10-K_S05761,FIN_AAPL_2025_10-K_S07675,FIN_AAPL_2025_10-K_S08071,FIN_AAPL_2025_10-K_S08389,FIN_AAPL_2025_10-K_S09121,FIN_AAPL_2025_10-K_S09367",Trend analysis
Describe the growth trend of Microsoft Corp.'s annual revenue between 2021 and 2025.,Annual revenue for Microsoft Corp. shows a steady compounding trend growing at an annual rate of 15.0% based on its base revenue of $180 billion.,"FIN_MSFT_2021_10-K_S00811,FIN_MSFT_2021_10-K_S02911,FIN_MSFT_2021_10-K_S03121,FIN_MSFT_2021_10-K_S03631,FIN_MSFT_2021_10-K_S03661,FIN_MSFT_2021_10-K_S07993,FIN_MSFT_2021_10-K_S08293,FIN_MSFT_2021_10-K_S08413,FIN_MSFT_2021_10-K_S08515,FIN_MSFT_2021_10-K_S08899,FIN_MSFT_2022_10-K_S01195,FIN_MSFT_2022_10-K_S01351,FIN_MSFT_2022_10-K_S01765,FIN_MSFT_2022_10-K_S02623,FIN_MSFT_2022_10-K_S03577,FIN_MSFT_2022_10-K_S04759,FIN_MSFT_2022_10-K_S05335,FIN_MSFT_2022_10-K_S05509,FIN_MSFT_2022_10-K_S06661,FIN_MSFT_2022_10-K_S06727,FIN_MSFT_2022_10-K_S07087,FIN_MSFT_2022_10-K_S09745,FIN_MSFT_2023_10-K_S01651,FIN_MSFT_2023_10-K_S01789,FIN_MSFT_2023_10-K_S01885,FIN_MSFT_2023_10-K_S02491,FIN_MSFT_2023_10-K_S02677,FIN_MSFT_2023_10-K_S04645,FIN_MSFT_2023_10-K_S04765,FIN_MSFT_2023_10-K_S05587,FIN_MSFT_2023_10-K_S07891,FIN_MSFT_2023_10-K_S08245,FIN_MSFT_2023_10-K_S09241,FIN_MSFT_2023_10-K_S09355,FIN_MSFT_2023_10-K_S09409,FIN_MSFT_2023_10-K_S09823,FIN_MSFT_2023_10-K_S09895,FIN_MSFT_2024_10-K_S00529,FIN_MSFT_2024_10-K_S01441,FIN_MSFT_2024_10-K_S03529,FIN_MSFT_2024_10-K_S03865,FIN_MSFT_2024_10-K_S03955,FIN_MSFT_2024_10-K_S05905,FIN_MSFT_2024_10-K_S06841,FIN_MSFT_2024_10-K_S06871,FIN_MSFT_2024_10-K_S06925,FIN_MSFT_2024_10-K_S06937,FIN_MSFT_2024_10-K_S06943,FIN_MSFT_2024_10-K_S07237,FIN_MSFT_2024_10-K_S08275,FIN_MSFT_2024_10-K_S08443,FIN_MSFT_2025_10-K_S00001,FIN_MSFT_2025_10-K_S00817,FIN_MSFT_2025_10-K_S01243,FIN_MSFT_2025_10-K_S02293,FIN_MSFT_2025_10-K_S03511,FIN_MSFT_2025_10-K_S03961,FIN_MSFT_2025_10-K_S04351,FIN_MSFT_2025_10-K_S05971,FIN_MSFT_2025_10-K_S06529,FIN_MSFT_2025_10-K_S07069,FIN_MSFT_2025_10-K_S07159,FIN_MSFT_2025_10-K_S07867,FIN_MSFT_2025_10-K_S08017,FIN_MSFT_2025_10-K_S08203,FIN_MSFT_2025_10-K_S09037",Trend analysis
How did the R&D expenses trend for Microsoft Corp. over the last 3 years?,"R&D expenses for Microsoft Corp. trended upwards inline with revenue growth, remaining at approximately 8% to 12% of total net sales.","FIN_MSFT_2023_10-K_S01651,FIN_MSFT_2023_10-K_S01789,FIN_MSFT_2023_10-K_S01885,FIN_MSFT_2023_10-K_S02491,FIN_MSFT_2023_10-K_S02677,FIN_MSFT_2023_10-K_S04645,FIN_MSFT_2023_10-K_S04765,FIN_MSFT_2023_10-K_S05587,FIN_MSFT_2023_10-K_S07891,FIN_MSFT_2023_10-K_S08245,FIN_MSFT_2023_10-K_S09241,FIN_MSFT_2023_10-K_S09355,FIN_MSFT_2023_10-K_S09409,FIN_MSFT_2023_10-K_S09823,FIN_MSFT_2023_10-K_S09895,FIN_MSFT_2024_10-K_S00529,FIN_MSFT_2024_10-K_S01441,FIN_MSFT_2024_10-K_S03529,FIN_MSFT_2024_10-K_S03865,FIN_MSFT_2024_10-K_S03955,FIN_MSFT_2024_10-K_S05905,FIN_MSFT_2024_10-K_S06841,FIN_MSFT_2024_10-K_S06871,FIN_MSFT_2024_10-K_S06925,FIN_MSFT_2024_10-K_S06937,FIN_MSFT_2024_10-K_S06943,FIN_MSFT_2024_10-K_S07237,FIN_MSFT_2024_10-K_S08275,FIN_MSFT_2024_10-K_S08443,FIN_MSFT_2025_10-K_S00001,FIN_MSFT_2025_10-K_S00817,FIN_MSFT_2025_10-K_S01243,FIN_MSFT_2025_10-K_S02293,FIN_MSFT_2025_10-K_S03511,FIN_MSFT_2025_10-K_S03961,FIN_MSFT_2025_10-K_S04351,FIN_MSFT_2025_10-K_S05971,FIN_MSFT_2025_10-K_S06529,FIN_MSFT_2025_10-K_S07069,FIN_MSFT_2025_10-K_S07159,FIN_MSFT_2025_10-K_S07867,FIN_MSFT_2025_10-K_S08017,FIN_MSFT_2025_10-K_S08203,FIN_MSFT_2025_10-K_S09037",Trend analysis
Describe the growth trend of NVIDIA Corp.'s annual revenue between 2021 and 2025.,Annual revenue for NVIDIA Corp. shows a steady compounding trend growing at an annual rate of 60.0% based on its base revenue of $25 billion.,"FIN_NVDA_2021_10-K_S00871,FIN_NVDA_2021_10-K_S01273,FIN_NVDA_2021_10-K_S01459,FIN_NVDA_2021_10-K_S01519,FIN_NVDA_2021_10-K_S01555,FIN_NVDA_2021_10-K_S02011,FIN_NVDA_2021_10-K_S02317,FIN_NVDA_2021_10-K_S03625,FIN_NVDA_2021_10-K_S04225,FIN_NVDA_2021_10-K_S06829,FIN_NVDA_2021_10-K_S07663,FIN_NVDA_2021_10-K_S07777,FIN_NVDA_2021_10-K_S07909,FIN_NVDA_2021_10-K_S08005,FIN_NVDA_2021_10-K_S09025,FIN_NVDA_2022_10-K_S00427,FIN_NVDA_2022_10-K_S01081,FIN_NVDA_2022_10-K_S01963,FIN_NVDA_2022_10-K_S03727,FIN_NVDA_2022_10-K_S03739,FIN_NVDA_2022_10-K_S04867,FIN_NVDA_2022_10-K_S05653,FIN_NVDA_2022_10-K_S05815,FIN_NVDA_2022_10-K_S07711,FIN_NVDA_2022_10-K_S08341,FIN_NVDA_2022_10-K_S08935,FIN_NVDA_2022_10-K_S09079,FIN_NVDA_2022_10-K_S09499,FIN_NVDA_2022_10-K_S09997,FIN_NVDA_2023_10-K_S00925,FIN_NVDA_2023_10-K_S03799,FIN_NVDA_2023_10-K_S04105,FIN_NVDA_2023_10-K_S05077,FIN_NVDA_2023_10-K_S05269,FIN_NVDA_2023_10-K_S05881,FIN_NVDA_2023_10-K_S07141,FIN_NVDA_2023_10-K_S07327,FIN_NVDA_2023_10-K_S07399,FIN_NVDA_2023_10-K_S09343,FIN_NVDA_2024_10-K_S00157,FIN_NVDA_2024_10-K_S00349,FIN_NVDA_2024_10-K_S01201,FIN_NVDA_2024_10-K_S01645,FIN_NVDA_2024_10-K_S01771,FIN_NVDA_2024_10-K_S01939,FIN_NVDA_2024_10-K_S02113,FIN_NVDA_2024_10-K_S02299,FIN_NVDA_2024_10-K_S04441,FIN_NVDA_2024_10-K_S06535,FIN_NVDA_2024_10-K_S06595,FIN_NVDA_2024_10-K_S07153,FIN_NVDA_2024_10-K_S08539,FIN_NVDA_2024_10-K_S09109,FIN_NVDA_2024_10-K_S09559,FIN_NVDA_2025_10-K_S00511,FIN_NVDA_2025_10-K_S02089,FIN_NVDA_2025_10-K_S02287,FIN_NVDA_2025_10-K_S04081,FIN_NVDA_2025_10-K_S04123,FIN_NVDA_2025_10-K_S04975,FIN_NVDA_2025_10-K_S05209,FIN_NVDA_2025_10-K_S06103,FIN_NVDA_2025_10-K_S06889,FIN_NVDA_2025_10-K_S07093,FIN_NVDA_2025_10-K_S08695,FIN_NVDA_2025_10-K_S08701,FIN_NVDA_2025_10-K_S09625",Trend analysis
How did the R&D expenses trend for NVIDIA Corp. over the last 3 years?,"R&D expenses for NVIDIA Corp. trended upwards inline with revenue growth, remaining at approximately 8% to 12% of total net sales.","FIN_NVDA_2023_10-K_S00925,FIN_NVDA_2023_10-K_S03799,FIN_NVDA_2023_10-K_S04105,FIN_NVDA_2023_10-K_S05077,FIN_NVDA_2023_10-K_S05269,FIN_NVDA_2023_10-K_S05881,FIN_NVDA_2023_10-K_S07141,FIN_NVDA_2023_10-K_S07327,FIN_NVDA_2023_10-K_S07399,FIN_NVDA_2023_10-K_S09343,FIN_NVDA_2024_10-K_S00157,FIN_NVDA_2024_10-K_S00349,FIN_NVDA_2024_10-K_S01201,FIN_NVDA_2024_10-K_S01645,FIN_NVDA_2024_10-K_S01771,FIN_NVDA_2024_10-K_S01939,FIN_NVDA_2024_10-K_S02113,FIN_NVDA_2024_10-K_S02299,FIN_NVDA_2024_10-K_S04441,FIN_NVDA_2024_10-K_S06535,FIN_NVDA_2024_10-K_S06595,FIN_NVDA_2024_10-K_S07153,FIN_NVDA_2024_10-K_S08539,FIN_NVDA_2024_10-K_S09109,FIN_NVDA_2024_10-K_S09559,FIN_NVDA_2025_10-K_S00511,FIN_NVDA_2025_10-K_S02089,FIN_NVDA_2025_10-K_S02287,FIN_NVDA_2025_10-K_S04081,FIN_NVDA_2025_10-K_S04123,FIN_NVDA_2025_10-K_S04975,FIN_NVDA_2025_10-K_S05209,FIN_NVDA_2025_10-K_S06103,FIN_NVDA_2025_10-K_S06889,FIN_NVDA_2025_10-K_S07093,FIN_NVDA_2025_10-K_S08695,FIN_NVDA_2025_10-K_S08701,FIN_NVDA_2025_10-K_S09625",Trend analysis
Describe the growth trend of Alphabet Inc. (Google)'s annual revenue between 2021 and 2025.,Annual revenue for Alphabet Inc. (Google) shows a steady compounding trend growing at an annual rate of 12.0% based on its base revenue of $240 billion.,"FIN_GOOGL_2021_10-K_S01111,FIN_GOOGL_2021_10-K_S01495,FIN_GOOGL_2021_10-K_S02407,FIN_GOOGL_2021_10-K_S03997,FIN_GOOGL_2021_10-K_S04789,FIN_GOOGL_2021_10-K_S05563,FIN_GOOGL_2021_10-K_S05989,FIN_GOOGL_2021_10-K_S06097,FIN_GOOGL_2021_10-K_S06199,FIN_GOOGL_2021_10-K_S06577,FIN_GOOGL_2021_10-K_S06787,FIN_GOOGL_2021_10-K_S07573,FIN_GOOGL_2021_10-K_S07759,FIN_GOOGL_2021_10-K_S08563,FIN_GOOGL_2021_10-K_S08923,FIN_GOOGL_2021_10-K_S09415,FIN_GOOGL_2022_10-K_S00415,FIN_GOOGL_2022_10-K_S00553,FIN_GOOGL_2022_10-K_S00637,FIN_GOOGL_2022_10-K_S01855,FIN_GOOGL_2022_10-K_S02467,FIN_GOOGL_2022_10-K_S02809,FIN_GOOGL_2022_10-K_S02887,FIN_GOOGL_2022_10-K_S05977,FIN_GOOGL_2022_10-K_S06211,FIN_GOOGL_2022_10-K_S06277,FIN_GOOGL_2022_10-K_S06313,FIN_GOOGL_2022_10-K_S06403,FIN_GOOGL_2022_10-K_S06625,FIN_GOOGL_2022_10-K_S07789,FIN_GOOGL_2022_10-K_S07969,FIN_GOOGL_2022_10-K_S09511,FIN_GOOGL_2023_10-K_S00211,FIN_GOOGL_2023_10-K_S00457,FIN_GOOGL_2023_10-K_S00577,FIN_GOOGL_2023_10-K_S01027,FIN_GOOGL_2023_10-K_S01189,FIN_GOOGL_2023_10-K_S01597,FIN_GOOGL_2023_10-K_S02227,FIN_GOOGL_2023_10-K_S02791,FIN_GOOGL_2023_10-K_S03313,FIN_GOOGL_2023_10-K_S03937,FIN_GOOGL_2023_10-K_S04573,FIN_GOOGL_2023_10-K_S05185,FIN_GOOGL_2023_10-K_S05773,FIN_GOOGL_2023_10-K_S05827,FIN_GOOGL_2023_10-K_S06949,FIN_GOOGL_2023_10-K_S07165,FIN_GOOGL_2023_10-K_S07369,FIN_GOOGL_2023_10-K_S08023,FIN_GOOGL_2023_10-K_S08617,FIN_GOOGL_2023_10-K_S09043,FIN_GOOGL_2024_10-K_S00631,FIN_GOOGL_2024_10-K_S00997,FIN_GOOGL_2024_10-K_S01627,FIN_GOOGL_2024_10-K_S01837,FIN_GOOGL_2024_10-K_S03061,FIN_GOOGL_2024_10-K_S06247,FIN_GOOGL_2024_10-K_S06373,FIN_GOOGL_2024_10-K_S07009,FIN_GOOGL_2024_10-K_S07555,FIN_GOOGL_2024_10-K_S08065,FIN_GOOGL_2024_10-K_S08419,FIN_GOOGL_2024_10-K_S09319,FIN_GOOGL_2024_10-K_S09517,FIN_GOOGL_2024_10-K_S09979,FIN_GOOGL_2025_10-K_S00037,FIN_GOOGL_2025_10-K_S00715,FIN_GOOGL_2025_10-K_S00775,FIN_GOOGL_2025_10-K_S01615,FIN_GOOGL_2025_10-K_S02053,FIN_GOOGL_2025_10-K_S02311,FIN_GOOGL_2025_10-K_S03235,FIN_GOOGL_2025_10-K_S06571,FIN_GOOGL_2025_10-K_S07591,FIN_GOOGL_2025_10-K_S07723",Trend analysis
How did the R&D expenses trend for Alphabet Inc. (Google) over the last 3 years?,"R&D expenses for Alphabet Inc. (Google) trended upwards inline with revenue growth, remaining at approximately 8% to 12% of total net sales.","FIN_GOOGL_2023_10-K_S00211,FIN_GOOGL_2023_10-K_S00457,FIN_GOOGL_2023_10-K_S00577,FIN_GOOGL_2023_10-K_S01027,FIN_GOOGL_2023_10-K_S01189,FIN_GOOGL_2023_10-K_S01597,FIN_GOOGL_2023_10-K_S02227,FIN_GOOGL_2023_10-K_S02791,FIN_GOOGL_2023_10-K_S03313,FIN_GOOGL_2023_10-K_S03937,FIN_GOOGL_2023_10-K_S04573,FIN_GOOGL_2023_10-K_S05185,FIN_GOOGL_2023_10-K_S05773,FIN_GOOGL_2023_10-K_S05827,FIN_GOOGL_2023_10-K_S06949,FIN_GOOGL_2023_10-K_S07165,FIN_GOOGL_2023_10-K_S07369,FIN_GOOGL_2023_10-K_S08023,FIN_GOOGL_2023_10-K_S08617,FIN_GOOGL_2023_10-K_S09043,FIN_GOOGL_2024_10-K_S00631,FIN_GOOGL_2024_10-K_S00997,FIN_GOOGL_2024_10-K_S01627,FIN_GOOGL_2024_10-K_S01837,FIN_GOOGL_2024_10-K_S03061,FIN_GOOGL_2024_10-K_S06247,FIN_GOOGL_2024_10-K_S06373,FIN_GOOGL_2024_10-K_S07009,FIN_GOOGL_2024_10-K_S07555,FIN_GOOGL_2024_10-K_S08065,FIN_GOOGL_2024_10-K_S08419,FIN_GOOGL_2024_10-K_S09319,FIN_GOOGL_2024_10-K_S09517,FIN_GOOGL_2024_10-K_S09979,FIN_GOOGL_2025_10-K_S00037,FIN_GOOGL_2025_10-K_S00715,FIN_GOOGL_2025_10-K_S00775,FIN_GOOGL_2025_10-K_S01615,FIN_GOOGL_2025_10-K_S02053,FIN_GOOGL_2025_10-K_S02311,FIN_GOOGL_2025_10-K_S03235,FIN_GOOGL_2025_10-K_S06571,FIN_GOOGL_2025_10-K_S07591,FIN_GOOGL_2025_10-K_S07723",Trend analysis
Describe the growth trend of Advanced Micro Devices Inc.'s annual revenue between 2021 and 2025.,Annual revenue for Advanced Micro Devices Inc. shows a steady compounding trend growing at an annual rate of 20.0% based on its base revenue of $15 billion.,"FIN_AMD_2021_10-K_S00043,FIN_AMD_2021_10-K_S00589,FIN_AMD_2021_10-K_S00781,FIN_AMD_2021_10-K_S01327,FIN_AMD_2021_10-K_S02155,FIN_AMD_2021_10-K_S02665,FIN_AMD_2021_10-K_S02863,FIN_AMD_2021_10-K_S04633,FIN_AMD_2021_10-K_S05113,FIN_AMD_2021_10-K_S05131,FIN_AMD_2021_10-K_S06505,FIN_AMD_2021_10-K_S07603,FIN_AMD_2021_10-K_S09325,FIN_AMD_2021_10-K_S09757,FIN_AMD_2022_10-K_S01249,FIN_AMD_2022_10-K_S01387,FIN_AMD_2022_10-K_S01411,FIN_AMD_2022_10-K_S02095,FIN_AMD_2022_10-K_S02797,FIN_AMD_2022_10-K_S03355,FIN_AMD_2022_10-K_S03721,FIN_AMD_2022_10-K_S04195,FIN_AMD_2022_10-K_S04705,FIN_AMD_2022_10-K_S05923,FIN_AMD_2022_10-K_S05959,FIN_AMD_2022_10-K_S06043,FIN_AMD_2022_10-K_S06385,FIN_AMD_2022_10-K_S06637,FIN_AMD_2022_10-K_S08569,FIN_AMD_2022_10-K_S09103,FIN_AMD_2022_10-K_S09661,FIN_AMD_2023_10-K_S00115,FIN_AMD_2023_10-K_S00931,FIN_AMD_2023_10-K_S02413,FIN_AMD_2023_10-K_S03523,FIN_AMD_2023_10-K_S03601,FIN_AMD_2023_10-K_S04249,FIN_AMD_2023_10-K_S04393,FIN_AMD_2023_10-K_S05527,FIN_AMD_2023_10-K_S05635,FIN_AMD_2023_10-K_S05641,FIN_AMD_2023_10-K_S05695,FIN_AMD_2023_10-K_S08479,FIN_AMD_2023_10-K_S08725,FIN_AMD_2023_10-K_S08815,FIN_AMD_2023_10-K_S09181,FIN_AMD_2023_10-K_S09781,FIN_AMD_2024_10-K_S01291,FIN_AMD_2024_10-K_S01621,FIN_AMD_2024_10-K_S02191,FIN_AMD_2024_10-K_S02845,FIN_AMD_2024_10-K_S03931,FIN_AMD_2024_10-K_S04135,FIN_AMD_2024_10-K_S04237,FIN_AMD_2024_10-K_S04267,FIN_AMD_2024_10-K_S04345,FIN_AMD_2024_10-K_S04477,FIN_AMD_2024_10-K_S04957,FIN_AMD_2024_10-K_S05677,FIN_AMD_2024_10-K_S06541,FIN_AMD_2024_10-K_S06559,FIN_AMD_2024_10-K_S07315,FIN_AMD_2024_10-K_S07513,FIN_AMD_2024_10-K_S08215,FIN_AMD_2024_10-K_S09799,FIN_AMD_2025_10-K_S00571,FIN_AMD_2025_10-K_S02107,FIN_AMD_2025_10-K_S02359,FIN_AMD_2025_10-K_S02743,FIN_AMD_2025_10-K_S03079,FIN_AMD_2025_10-K_S03103,FIN_AMD_2025_10-K_S04189,FIN_AMD_2025_10-K_S04831,FIN_AMD_2025_10-K_S06109,FIN_AMD_2025_10-K_S06955,FIN_AMD_2025_10-K_S07567,FIN_AMD_2025_10-K_S08491,FIN_AMD_2025_10-K_S08545,FIN_AMD_2025_10-K_S08731,FIN_AMD_2025_10-K_S09379,FIN_AMD_2025_10-K_S09703",Trend analysis
